name,height,length,width,matsw.comp1.sw1,voltage,core_temperature,freq,geometry_idx,internal_idx
unit,mm,mm,mm,,V,,Hz,,
group,Geometry Sweep,Geometry Sweep,Geometry Sweep,Material Sweep,Excitation Sweep,Excitation Sweep,Frequency Sweep,Indexing,Indexing
0,10.0,20.0,2.0,1.0,10.0,60.0,100000.0,0,0
1,10.0,20.0,2.0,1.0,10.0,60.0,200000.0,0,1
2,10.0,20.0,2.0,1.0,10.0,60.0,300000.0,0,2
3,10.0,20.0,2.0,1.0,10.0,60.0,400000.0,0,3
4,10.0,20.0,2.0,1.0,10.0,60.0,500000.0,0,4
5,10.0,20.0,2.0,2.0,10.0,60.0,100000.0,0,5
6,10.0,20.0,2.0,2.0,10.0,60.0,200000.0,0,6
7,10.0,20.0,2.0,2.0,10.0,60.0,300000.0,0,7
8,10.0,20.0,2.0,2.0,10.0,60.0,400000.0,0,8
9,10.0,20.0,2.0,2.0,10.0,60.0,500000.0,0,9
10,10.0,20.0,2.0,3.0,10.0,60.0,100000.0,0,10
11,10.0,20.0,2.0,3.0,10.0,60.0,200000.0,0,11
12,10.0,20.0,2.0,3.0,10.0,60.0,300000.0,0,12
13,10.0,20.0,2.0,3.0,10.0,60.0,400000.0,0,13
14,10.0,20.0,2.0,3.0,10.0,60.0,500000.0,0,14
15,10.0,20.0,4.0,1.0,10.0,60.0,100000.0,1,0
16,10.0,20.0,4.0,1.0,10.0,60.0,200000.0,1,1
17,10.0,20.0,4.0,1.0,10.0,60.0,300000.0,1,2
18,10.0,20.0,4.0,1.0,10.0,60.0,400000.0,1,3
19,10.0,20.0,4.0,1.0,10.0,60.0,500000.0,1,4
20,10.0,20.0,4.0,2.0,10.0,60.0,100000.0,1,5
21,10.0,20.0,4.0,2.0,10.0,60.0,200000.0,1,6
22,10.0,20.0,4.0,2.0,10.0,60.0,300000.0,1,7
23,10.0,20.0,4.0,2.0,10.0,60.0,400000.0,1,8
24,10.0,20.0,4.0,2.0,10.0,60.0,500000.0,1,9
25,10.0,20.0,4.0,3.0,10.0,60.0,100000.0,1,10
26,10.0,20.0,4.0,3.0,10.0,60.0,200000.0,1,11
27,10.0,20.0,4.0,3.0,10.0,60.0,300000.0,1,12
28,10.0,20.0,4.0,3.0,10.0,60.0,400000.0,1,13
29,10.0,20.0,4.0,3.0,10.0,60.0,500000.0,1,14
30,10.0,20.0,6.0,1.0,10.0,60.0,100000.0,2,0
31,10.0,20.0,6.0,1.0,10.0,60.0,200000.0,2,1
32,10.0,20.0,6.0,1.0,10.0,60.0,300000.0,2,2
33,10.0,20.0,6.0,1.0,10.0,60.0,400000.0,2,3
34,10.0,20.0,6.0,1.0,10.0,60.0,500000.0,2,4
35,10.0,20.0,6.0,2.0,10.0,60.0,100000.0,2,5
36,10.0,20.0,6.0,2.0,10.0,60.0,200000.0,2,6
37,10.0,20.0,6.0,2.0,10.0,60.0,300000.0,2,7
38,10.0,20.0,6.0,2.0,10.0,60.0,400000.0,2,8
39,10.0,20.0,6.0,2.0,10.0,60.0,500000.0,2,9
40,10.0,20.0,6.0,3.0,10.0,60.0,100000.0,2,10
41,10.0,20.0,6.0,3.0,10.0,60.0,200000.0,2,11
42,10.0,20.0,6.0,3.0,10.0,60.0,300000.0,2,12
43,10.0,20.0,6.0,3.0,10.0,60.0,400000.0,2,13
44,10.0,20.0,6.0,3.0,10.0,60.0,500000.0,2,14
45,10.0,20.0,8.0,1.0,10.0,60.0,100000.0,3,0
46,10.0,20.0,8.0,1.0,10.0,60.0,200000.0,3,1
47,10.0,20.0,8.0,1.0,10.0,60.0,300000.0,3,2
48,10.0,20.0,8.0,1.0,10.0,60.0,400000.0,3,3
49,10.0,20.0,8.0,1.0,10.0,60.0,500000.0,3,4
50,10.0,20.0,8.0,2.0,10.0,60.0,100000.0,3,5
51,10.0,20.0,8.0,2.0,10.0,60.0,200000.0,3,6
52,10.0,20.0,8.0,2.0,10.0,60.0,300000.0,3,7
53,10.0,20.0,8.0,2.0,10.0,60.0,400000.0,3,8
54,10.0,20.0,8.0,2.0,10.0,60.0,500000.0,3,9
55,10.0,20.0,8.0,3.0,10.0,60.0,100000.0,3,10
56,10.0,20.0,8.0,3.0,10.0,60.0,200000.0,3,11
57,10.0,20.0,8.0,3.0,10.0,60.0,300000.0,3,12
58,10.0,20.0,8.0,3.0,10.0,60.0,400000.0,3,13
59,10.0,20.0,8.0,3.0,10.0,60.0,500000.0,3,14
60,10.0,20.0,10.0,1.0,10.0,60.0,100000.0,4,0
61,10.0,20.0,10.0,1.0,10.0,60.0,200000.0,4,1
62,10.0,20.0,10.0,1.0,10.0,60.0,300000.0,4,2
63,10.0,20.0,10.0,1.0,10.0,60.0,400000.0,4,3
64,10.0,20.0,10.0,1.0,10.0,60.0,500000.0,4,4
65,10.0,20.0,10.0,2.0,10.0,60.0,100000.0,4,5
66,10.0,20.0,10.0,2.0,10.0,60.0,200000.0,4,6
67,10.0,20.0,10.0,2.0,10.0,60.0,300000.0,4,7
68,10.0,20.0,10.0,2.0,10.0,60.0,400000.0,4,8
69,10.0,20.0,10.0,2.0,10.0,60.0,500000.0,4,9
70,10.0,20.0,10.0,3.0,10.0,60.0,100000.0,4,10
71,10.0,20.0,10.0,3.0,10.0,60.0,200000.0,4,11
72,10.0,20.0,10.0,3.0,10.0,60.0,300000.0,4,12
73,10.0,20.0,10.0,3.0,10.0,60.0,400000.0,4,13
74,10.0,20.0,10.0,3.0,10.0,60.0,500000.0,4,14
