name,Z,C
unit,Ohm,F
group,post-processing,post-processing
0,(173.8872944216915-329.87868426421386j),(3.7755684598794324e-09-1.990196444055384e-09j)
1,(86.57926752728213-202.07467144885996j),(3.327238575473488e-09-1.4255615346919686e-09j)
2,(57.90119038916195-146.61615087306285j),(3.1302174560627727e-09-1.2361756587095605e-09j)
3,(44.149641750989865-115.50521076871871j),(3.005632815014598e-09-1.148845243732078e-09j)
4,(36.24245823851315-95.37621460490352j),(2.916310211122552e-09-1.10818249051923e-09j)
5,(214.01123590361246-350.2673777491697j),(3.3086492617253562e-09-2.021564560832405e-09j)
6,(114.22904027662837-225.82619167800723j),(2.8059128747402396e-09-1.4193071777892775e-09j)
7,(78.40066891703381-168.0602411974929j),(2.592508550230812e-09-1.2094139759824247e-09j)
8,(60.401345864685126-134.95957048373165j),(2.456211881710366e-09-1.0992810873091832e-09j)
9,(49.650721838226985-113.4772800864425j),(2.3543386629135135e-09-1.0301146976404124e-09j)
10,(323.9078033868461-274.2927658520203j),(2.4232236641667106e-09-2.8615448596946018e-09j)
11,(197.20231392827176-233.98581268670728j),(1.9885064663731542e-09-1.6759053548052762e-09j)
12,(135.99867268883412-197.21819160206812j),(1.8230755842685864e-09-1.2571652627877991e-09j)
13,(101.69370035128743-168.42828022370045j),(1.731232567152433e-09-1.0452843530110206e-09j)
14,(80.33812358341693-146.81872939620905j),(1.6684730735651864e-09-9.129761341140205e-10j)
15,(86.96024497476667-164.5404803683932j),(7.560830488602541e-09-3.995926534488593e-09j)
16,(43.36604514600379-100.24404719673943j),(6.6869351340605255e-09-2.8927995130019037e-09j)
17,(29.14407304211037-72.1293880790738j),(6.322813428812465e-09-2.554749753303508e-09j)
18,(22.45340192018419-56.20574047604264j),(6.1048553715310805e-09-2.4388037620465128e-09j)
19,(18.762466368820494-45.802629310798835j),(5.951003830956508e-09-2.4377532669880704e-09j)
20,(107.00598536244442-174.9867488523692j),(6.619819416132697e-09-4.048079664262703e-09j)
21,(57.11583159100469-112.61730242057963j),(5.620489446376303e-09-2.850529374956732e-09j)
22,(39.20343776076614-83.58339580693465j),(5.202614311919181e-09-2.440201961185129e-09j)
23,(30.206938653968702-66.87990250110099j),(4.94127902094585e-09-2.2317752669480445e-09j)
24,(24.83694725450048-55.98323108502777j),(4.750742305374757e-09-2.107665702236921e-09j)
25,(161.95397859744884-137.0900406234992j),(4.846116178444832e-09-5.725053346508898e-09j)
26,(98.60137982276086-116.87947864657762j),(3.977657115581383e-09-3.355614557830948e-09j)
27,(67.99981314916855-98.43782088052228j),(3.648383536220303e-09-2.5202650418338593e-09j)
28,(50.847739639487116-83.98423630824266j),(3.4668331475397948e-09-2.0989728192878256e-09j)
29,(40.17054471057137-73.12002983534369j),(3.343982955673906e-09-1.8371110779738355e-09j)
30,(57.99243126807525-109.29758750733569j),(1.1362698449159723e-08-6.028957489922035e-09j)
31,(28.999181149805082-66.0391046290901j),(1.0102091386517192e-08-4.4360440644201684e-09j)
32,(19.657695879679768-46.908674976598206j),(9.620131270413357e-09-4.031442263733225e-09j)
33,(15.425847070458877-35.924785241294444j),(9.351376386265877e-09-4.015414457287374e-09j)
34,(13.300310992034218-28.662891069368044j),(9.137757423492155e-09-4.2401520212348404e-09j)
35,(71.33782681035669-116.51204729362989j),(9.935344235206258e-09-6.083198113978814e-09j)
36,(38.07910979786934-74.78419144886017j),(8.450085942919446e-09-4.302670714062606e-09j)
37,(26.140278471147212-55.2771070273531j),(7.843384430184045e-09-3.709098832900497e-09j)
