name,hor_slit,vert_slit,w,l_r,a_e,matsw.comp1.core,b_mean,freq
unit,um,um,mm,mm,mm,,mT,kHz
group,Geometry Sweep,Geometry Sweep,Geometry Sweep,Geometry Sweep,Geometry Sweep,Material Sweep,Excitation Sweep,Frequency Sweep
0,0.0,0.0,10.0,0.0,5.0,2.0,25.0,100.0
1,0.0,0.0,10.0,0.0,5.0,2.0,25.0,200.0
2,0.0,0.0,10.0,0.0,5.0,2.0,25.0,300.0
3,0.0,0.0,10.0,0.0,5.0,2.0,25.0,400.0
4,0.0,0.0,10.0,0.0,5.0,2.0,25.0,500.0
5,0.0,0.0,10.0,0.0,5.0,2.0,25.0,600.0
6,0.0,0.0,10.0,0.0,5.0,2.0,25.0,700.0
7,0.0,0.0,10.0,0.0,5.0,2.0,25.0,800.0
8,0.0,0.0,10.0,0.0,5.0,2.0,25.0,900.0
9,0.0,0.0,10.0,0.0,5.0,2.0,25.0,1000.0
10,0.0,0.0,10.0,0.0,5.0,2.0,25.0,1100.0
11,0.0,0.0,10.0,0.0,5.0,2.0,25.0,1200.0
12,0.0,0.0,10.0,0.0,5.0,2.0,25.0,1300.0
13,0.0,0.0,10.0,0.0,5.0,2.0,50.0,100.0
14,0.0,0.0,10.0,0.0,5.0,2.0,50.0,200.0
15,0.0,0.0,10.0,0.0,5.0,2.0,50.0,300.0
16,0.0,0.0,10.0,0.0,5.0,2.0,50.0,400.0
17,0.0,0.0,10.0,0.0,5.0,2.0,50.0,500.0
18,0.0,0.0,10.0,0.0,5.0,2.0,50.0,600.0
19,0.0,0.0,10.0,0.0,5.0,2.0,50.0,700.0
20,0.0,0.0,10.0,0.0,5.0,2.0,50.0,800.0
21,0.0,0.0,10.0,0.0,5.0,2.0,50.0,900.0
22,0.0,0.0,10.0,0.0,5.0,2.0,50.0,1000.0
23,0.0,0.0,10.0,0.0,5.0,2.0,50.0,1100.0
24,0.0,0.0,10.0,0.0,5.0,2.0,50.0,1200.0
25,0.0,0.0,10.0,0.0,5.0,2.0,50.0,1300.0
26,0.0,0.0,10.0,0.0,5.0,2.0,75.0,100.0
27,0.0,0.0,10.0,0.0,5.0,2.0,75.0,200.0
28,0.0,0.0,10.0,0.0,5.0,2.0,75.0,300.0
29,0.0,0.0,10.0,0.0,5.0,2.0,75.0,400.0
30,0.0,0.0,10.0,0.0,5.0,2.0,75.0,500.0
31,0.0,0.0,10.0,0.0,5.0,2.0,75.0,600.0
32,0.0,0.0,10.0,0.0,5.0,2.0,75.0,700.0
33,0.0,0.0,10.0,0.0,5.0,2.0,75.0,800.0
34,0.0,0.0,10.0,0.0,5.0,2.0,75.0,900.0
35,0.0,0.0,10.0,0.0,5.0,2.0,75.0,1000.0
36,0.0,0.0,10.0,0.0,5.0,2.0,75.0,1100.0
37,0.0,0.0,10.0,0.0,5.0,2.0,75.0,1200.0
38,0.0,0.0,10.0,0.0,5.0,2.0,75.0,1300.0
39,0.0,0.0,10.0,0.0,5.0,2.0,100.0,100.0
40,0.0,0.0,10.0,0.0,5.0,2.0,100.0,200.0
41,0.0,0.0,10.0,0.0,5.0,2.0,100.0,300.0
42,0.0,0.0,10.0,0.0,5.0,2.0,100.0,400.0
43,0.0,0.0,10.0,0.0,5.0,2.0,100.0,500.0
44,0.0,0.0,10.0,0.0,5.0,2.0,100.0,600.0
