name,p_loss,p_mag,p_el
unit,W /m^3,W /m^3,W /m^3
group,post-processing,post-processing,post-processing
0,1138.7931745362628,1016.234898506517,122.558276029742
1,3233.052525791783,2542.864479035651,690.1880467561253
2,6623.256480100142,4630.24333910561,1993.0131409945309
3,11906.198592072386,7588.854680734988,4317.343911337402
4,19822.37503920493,11867.487161146037,7954.887878058886
5,31246.32738626644,18034.176937181994,13212.15044908434
6,47192.271988347864,26772.116578608166,20420.15540973979
7,68828.59785152016,38883.970781715565,29944.62706980454
8,97501.72420936452,55305.0989994246,42196.625209939935
9,134768.93895323412,77125.85601254743,57643.082940687054
10,182445.57552700632,105629.82310597558,76815.75242103072
11,242667.0536302638,142351.83818961892,100315.21544064453
12,317960.38241330255,189156.78052837434,128803.60188492642
13,8482.644001572904,7992.378568611522,490.26543296139624
14,22482.953307456075,19721.60092087887,2761.3523865772618
15,42939.7347911597,34964.0684869236,7975.666304236171
16,72525.48165929319,55243.02107259649,17282.460586696794
17,114748.35214128223,82893.42991349129,31854.922227791038
18,173853.40238756206,120926.10545131603,52927.29693624609
19,254831.56597701783,172999.66947209567,81831.89650492181
20,363480.8188253519,243445.80636375918,120035.01246159305
21,506516.89984013286,337347.2701896798,169169.62965045276
22,691730.7045461482,460673.671316598,231057.03322954962
23,928194.8244111603,620491.3794109011,307703.4450002582
24,1226503.6413530346,825260.9876025338,401242.65375049744
25,1598967.1357114073,1085193.9334486732,513773.20226273185
26,29229.98009213103,28126.793597120886,1103.1864950101883
27,75119.86477288464,68905.21955437602,6214.645218508633
28,138387.28231695146,120432.35986021292,17954.922456738357
29,225331.62933725285,186411.0211387429,38920.608198509886
30,344687.23781741655,272918.51602387574,71768.72179354071
31,507239.00648802146,387939.8904426004,119299.11604542215
32,725820.5855209931,541287.7040160929,184532.88150490206
33,1015461.3529478491,744679.7199499672,270781.63299788133
34,1393665.490142085,1011971.4421610673,381694.0479810175
35,1880802.2828968067,1359551.2197500975,521251.06314670894
36,2500550.1390369977,1806897.8092183403,693652.329818652
37,3280247.085894418,2377256.715975983,902990.3699184237
38,4250664.932808259,3098126.6171683827,1152538.3156398644
39,72026.46904147055,70065.06301355147,1961.4060279190533
40,181937.5132521625,170886.0248768884,11051.488375274808
41,327975.046672084,296035.4524744173,31939.59419766498
42,521518.08017082134,452253.9528650484,69264.12730577475
43,779238.3506987022,651454.2384344995,127784.11226420717
44,1122154.1152066821,909630.998940072,212523.11626660853
45,1575563.9584077566,1246666.5168564776,328897.44155128545
46,2169342.49732487,1686531.4333127262,482811.0640121456
47,2938473.1965445653,2257796.5513067683,680676.6452378023
48,3923730.5375838634,2994451.2539536245,929279.2836302408
49,5172197.167880301,3936869.444759011,1235327.7231213024
50,6736979.504496166,5132555.399735804,1604424.104760365
51,8674277.273566457,6635215.128198242,2039062.1453682478
52,1508.836652201445,1016.3250479133237,492.51160428812
