unit,p_loss,p_mag,p_el
name,W /m^3,W /m^3,W /m^3
group,post-processing,post-processing,post-processing
0,1138.7931745362657,1016.2348985065223,122.55827602974234
1,3233.0525257917834,2542.8644790356516,690.1880467561276
2,6623.25648010014,4630.243339105615,1993.0131409945304
3,11906.198592072375,7588.854680734983,4317.3439113374125
4,19822.37503920492,11867.487161146024,7954.887878058896
5,31246.32738626645,18034.17693718202,13212.150449084345
6,47192.27198834788,26772.116578608184,20420.155409739822
7,68828.59785152013,38883.97078171553,29944.62706980458
8,97501.72420936446,55305.098999424496,42196.62520993992
9,134768.93895323417,77125.85601254735,57643.08294068704
10,182445.57552700627,105629.82310597545,76815.75242103072
11,242667.05363026372,142351.83818961878,100315.21544064462
12,317960.3824133025,189156.78052837448,128803.60188492647
13,8482.644001572928,7992.3785686115525,490.2654329613971
14,22482.953307456075,19721.60092087888,2761.352386577271
15,42939.734791159724,34964.06848692364,7975.666304236166
16,72525.48165929304,55243.02107259634,17282.460586696798
17,114748.35214128216,82893.42991349132,31854.922227790987
18,173853.40238756165,120926.10545131583,52927.296936246115
19,254831.5659770175,172999.66947209515,81831.89650492178
20,363480.818825351,243445.80636375875,120035.0124615929
21,506516.8998401317,337347.27018967964,169169.62965045267
22,691730.7045461481,460673.67131659796,231057.0332295497
23,928194.824411162,620491.3794109025,307703.4450002587
24,1226503.641353036,825260.9876025338,401242.6537504969
25,1598967.1357114068,1085193.9334486737,513773.20226273185
26,29229.980092131038,28126.79359712096,1103.1864950101915
27,75119.86477288445,68905.21955437606,6214.645218508641
28,138387.28231695163,120432.35986021288,17954.922456738335
29,225331.62933725317,186411.02113874315,38920.608198509915
30,344687.23781741713,272918.51602387615,71768.7217935407
31,507239.0064880223,387939.8904426006,119299.11604542231
32,725820.5855209931,541287.704016093,184532.88150490233
33,1015461.352947846,744679.7199499652,270781.63299788116
34,1393665.4901420856,1011971.44216107,381694.0479810178
35,1880802.2828968074,1359551.2197500966,521251.0631467093
36,2500550.139036993,1806897.8092183382,693652.3298186514
37,3280247.085894411,2377256.715975978,902990.3699184217
38,4250664.93280826,3098126.6171683907,1152538.315639866
39,72026.46904147045,70065.06301355133,1961.4060279190523
40,181937.51325216258,170886.0248768887,11051.488375274817
41,327975.04667208437,296035.4524744177,31939.594197665
42,521518.08017082134,452253.9528650484,69264.1273057748
43,779238.350698704,651454.2384345003,127784.11226420733
44,1122154.1152066821,909630.9989400713,212523.11626660824
45,1575563.9584077613,1246666.5168564792,328897.4415512858
46,2169342.4973248765,1686531.433312729,482811.0640121461
47,2938473.1965445657,2257796.5513067693,680676.6452378021
48,3923730.537583861,2994451.2539536194,929279.2836302401
49,5172197.167880302,3936869.444759011,1235327.7231213022
50,6736979.504496175,5132555.399735807,1604424.1047603681
51,8674277.273566455,6635215.128198233,2039062.145368246
52,1508.836652201434,1016.3250479133175,492.5116042881186
53,5350.509196611934,2545.376732979934,2805.1324636320037
54,12896.305247122318,4650.322835661767,8245.982411460584
55,25988.038843028717,7683.0698575789565,18304.968985449697
56,47003.49978854625,12201.383738052058,34802.116050494136
57,79119.83695696702,19036.339314851004,60083.497642116075
58,126753.26117996596,29465.468034921894,97287.79314504424
59,196258.65526419546,45565.048647795265,150693.60661640036
60,296942.5777200419,70864.60635936625,226077.97136067628
61,442142.6343004639,111435.8661827597,330706.7681177049
62,649002.7920793381,177304.7864394375,471698.0056399011
63,933124.3594156383,282917.8977712722,650206.4616443666
64,1293543.399899435,442737.67483239685,850805.7250670376
65,9963.79006295471,7993.2238487065715,1970.566214248153
66,30977.02823821879,19746.574684137475,11230.453554081287
67,68201.77242384074,35156.08231123605,33045.69011260461
68,129562.70236429379,56109.45443688899,73453.24792740423
69,225718.3299272175,85845.55180924224,139872.7781179757
70,371309.5450604871,129415.76165567536,241893.78340481268
71,587108.1730856126,194836.84639734015,392271.32668827137
72,903265.0850847835,295304.88954523497,607960.1955395456
73,1363093.3154902803,452867.51340511156,910225.802085168
74,2022749.6345234101,702745.5335002119,1320004.1010231958
75,2935190.5024608523,1092713.2137874658,1842477.2886733823
76,4111745.738548399,1671948.7053797096,2439797.0331686866
77,5449805.853725015,2434743.6494250805,3015062.2042999296
78,32566.03779095192,28130.84439805911,4435.193392892776
79,94303.55458546452,69008.7436707732,25294.810914690956
80,195735.54479691415,121217.96298710817,74517.5818098062
81,355812.2724443301,189916.5225800427,165895.74986428765
82,601160.7633645621,284658.3039087598,316502.45945580024
83,969466.4709614222,421000.4787123504,548465.9922490744
84,1515271.3990061244,624308.8153139671,890962.5836921541
85,2317760.9118794645,936460.9886027958,1381299.9232766703
86,3485562.5109974085,1425268.8674244625,2060293.6435729414
87,5129216.923660869,2180686.750173894,2948530.1734869652
88,7288669.090540891,3288324.7940538367,4000344.2964870944
89,9838156.20220877,4763325.679028666,5074830.523180127
90,12546406.525288157,6541289.009447092,6005117.515841063
91,77962.44934706436,70074.72588357466,7887.723463489764
92,216204.3097921607,171182.36891506676,45021.94087709388
93,431112.1255422333,298299.4209390038,132812.70460323
94,758509.9470754425,462300.12288150407,296209.8241939386
95,1251137.695462667,684804.3797164023,566333.315746262
96,1985983.4324261711,1002421.173577133,983562.258849036
97,3076210.481990099,1475978.9803697632,1600231.5016203406
98,4687014.21301717,2207505.6635883423,2479508.5494288243
99,7000040.9421757115,3332442.8885605633,3667598.0536151803
100,10131748.651750688,4991470.458016572,5140278.193734082
101,13951195.399750853,7213851.653895223,6737343.745855607
102,18129518.011976704,9900488.595108323,8229029.416868358
103,22361904.72901189,12929440.036796357,9432464.69221548
104,2133.521243682931,1016.7216669865658,1116.7995766963666
105,9042.419136369812,2557.055612675712,6485.363523694121
106,24428.447810540933,4746.790822973114,19681.6569875677
107,53922.85189475789,8165.639659425639,45757.21223533253
108,106769.95600898376,14082.632038681146,92687.32397030274
109,199377.95607780747,25408.65442921819,173969.30164858975
110,361811.0018174996,49247.80365234017,312563.19816515845
111,643629.7021593585,102736.96335012477,540892.7388092353
112,1086841.1599836717,218201.3848244129,868639.7751592579
113,1613454.9359880416,413365.28412351414,1200089.6518645287
114,2034979.7107795684,641566.0128341774,1393413.6979453906
115,2303063.590078018,852118.5765961471,1450945.0134818736
116,2505798.4376261905,1045760.6086583219,1460037.8289678697
117,12467.091022521161,7997.209307567115,4469.881714954022
118,45854.19678334418,19859.881387661288,25994.315395682814
119,115146.89474814563,36071.73730256479,79075.15744558099
120,245020.0798781794,60567.94457165739,184452.13530652176
121,477805.3309593066,102650.72525907366,375154.6057002321
122,891173.4817257131,184434.20044841513,706739.2812772958
123,1622407.981895435,357854.89091869234,1264553.0909767423
124,2844811.5246537267,727353.6231118632,2117457.901541865
125,4497646.829803375,1383546.8343359043,3114099.9954674705
126,6125219.676285752,2235099.5216186815,3890120.1546670813
127,7412226.384343463,3111740.340075738,4300486.044267688
128,8448277.853967812,3964042.494534708,4484235.359433081
129,9456641.735338476,4848310.312237277,4608331.423101207
130,38212.16564741539,28147.591397762684,10064.57424965274
131,128103.34076570696,69476.08385659607,58627.2569091107
132,303828.7700719379,124978.69354901591,178850.07652292214
133,626903.5094506753,208069.14537778654,418834.36407288915
134,1209299.613322468,352827.1311954509,856472.4821270127
135,2256251.475150567,639403.1383401861,1616848.3368103907
136,4098727.8210639097,1242622.711146708,2856105.109917196
137,6899259.782033992,2378564.64503472,4520695.136999268
138,10101787.423406234,3988478.335728399,6113309.087677826
139,13036174.808879388,5802615.591554351,7233559.21732503
140,15506173.863144001,7656500.900240428,7849672.962903551
141,17755365.226412073,9558353.401148653,8197011.825263418
142,20019385.70057994,11577299.798516503,8442085.902063461
143,88031.1058940141,70123.06027883223,17908.045615182065
144,277041.5994196242,172530.83269460435,104510.7667250193
145,629026.0217612523,309166.181001281,319859.840759971
146,1267055.3333078285,514672.63722026173,752382.6960875683
147,2428995.9023880768,882211.8802413187,1546784.0221467596
148,4538156.379067203,1622787.7599508604,2915368.6191163505
149,8093383.402942934,3093365.9389457414,5000017.463997165
150,12784181.035506705,5373158.229580155,7411022.8059265
151,17571135.811495554,8145291.350810364,9425844.46068521
152,21941063.51827183,11131021.44753031,10810042.07074159
153,25810696.722593576,14231578.934545832,11579117.788047776
154,29447839.83782972,17437652.628932517,12010187.208897257
155,32989518.439121425,20757127.79906708,12232390.640054315
