name,h_c,d_o,d_i,matsw.comp1.core1,b_mean,freq,geometry_idx,internal_idx
unit,mm,mm,mm,,mT,kHz,,
group,Geometry Sweep,Geometry Sweep,Geometry Sweep,Material Sweep,Excitation Sweep,Frequency Sweep,Indexing,Indexing
0,10.0,14.0,10.0,2.0,25.0,100.0,0,0
1,10.0,14.0,10.0,2.0,25.0,200.0,0,1
2,10.0,14.0,10.0,2.0,25.0,300.0,0,2
3,10.0,14.0,10.0,2.0,25.0,400.0,0,3
4,10.0,14.0,10.0,2.0,25.0,500.0,0,4
5,10.0,14.0,10.0,2.0,25.0,600.0,0,5
6,10.0,14.0,10.0,2.0,25.0,700.0,0,6
7,10.0,14.0,10.0,2.0,25.0,800.0,0,7
8,10.0,14.0,10.0,2.0,25.0,900.0,0,8
9,10.0,14.0,10.0,2.0,25.0,1000.0,0,9
10,10.0,14.0,10.0,2.0,25.0,1100.0,0,10
11,10.0,14.0,10.0,2.0,50.0,100.0,0,11
12,10.0,14.0,10.0,2.0,50.0,200.0,0,12
13,10.0,14.0,10.0,2.0,50.0,300.0,0,13
14,10.0,14.0,10.0,2.0,50.0,400.0,0,14
15,10.0,14.0,10.0,2.0,50.0,500.0,0,15
16,10.0,14.0,10.0,2.0,50.0,600.0,0,16
17,10.0,14.0,10.0,2.0,50.0,700.0,0,17
18,10.0,14.0,10.0,2.0,50.0,800.0,0,18
19,10.0,14.0,10.0,2.0,50.0,900.0,0,19
20,10.0,14.0,10.0,2.0,50.0,1000.0,0,20
21,10.0,14.0,10.0,2.0,50.0,1100.0,0,21
22,10.0,14.0,10.0,2.0,75.0,100.0,0,22
23,10.0,14.0,10.0,2.0,75.0,200.0,0,23
24,10.0,14.0,10.0,2.0,75.0,300.0,0,24
25,10.0,14.0,10.0,2.0,75.0,400.0,0,25
26,10.0,14.0,10.0,2.0,75.0,500.0,0,26
27,10.0,14.0,10.0,2.0,75.0,600.0,0,27
28,10.0,14.0,10.0,2.0,75.0,700.0,0,28
29,10.0,14.0,10.0,2.0,75.0,800.0,0,29
30,10.0,14.0,10.0,2.0,75.0,900.0,0,30
31,10.0,14.0,10.0,2.0,75.0,1000.0,0,31
32,10.0,14.0,10.0,2.0,75.0,1100.0,0,32
33,10.0,14.0,10.0,2.0,100.0,100.0,0,33
34,10.0,14.0,10.0,2.0,100.0,200.0,0,34
35,10.0,14.0,10.0,2.0,100.0,300.0,0,35
36,10.0,14.0,10.0,2.0,100.0,400.0,0,36
37,10.0,14.0,10.0,2.0,100.0,500.0,0,37
38,10.0,14.0,10.0,2.0,100.0,600.0,0,38
39,10.0,14.0,10.0,2.0,100.0,700.0,0,39
40,10.0,14.0,10.0,2.0,100.0,800.0,0,40
41,10.0,14.0,10.0,2.0,100.0,900.0,0,41
42,10.0,14.0,10.0,2.0,100.0,1000.0,0,42
43,10.0,14.0,10.0,2.0,100.0,1100.0,0,43
44,10.0,18.0,10.0,2.0,25.0,100.0,1,0
45,10.0,18.0,10.0,2.0,25.0,200.0,1,1
46,10.0,18.0,10.0,2.0,25.0,300.0,1,2
47,10.0,18.0,10.0,2.0,25.0,400.0,1,3
48,10.0,18.0,10.0,2.0,25.0,500.0,1,4
49,10.0,18.0,10.0,2.0,25.0,600.0,1,5
50,10.0,18.0,10.0,2.0,25.0,700.0,1,6
51,10.0,18.0,10.0,2.0,25.0,800.0,1,7
52,10.0,18.0,10.0,2.0,25.0,900.0,1,8
53,10.0,18.0,10.0,2.0,25.0,1000.0,1,9
54,10.0,18.0,10.0,2.0,25.0,1100.0,1,10
55,10.0,18.0,10.0,2.0,50.0,100.0,1,11
56,10.0,18.0,10.0,2.0,50.0,200.0,1,12
57,10.0,18.0,10.0,2.0,50.0,300.0,1,13
58,10.0,18.0,10.0,2.0,50.0,400.0,1,14
59,10.0,18.0,10.0,2.0,50.0,500.0,1,15
60,10.0,18.0,10.0,2.0,50.0,600.0,1,16
61,10.0,18.0,10.0,2.0,50.0,700.0,1,17
62,10.0,18.0,10.0,2.0,50.0,800.0,1,18
63,10.0,18.0,10.0,2.0,50.0,900.0,1,19
64,10.0,18.0,10.0,2.0,50.0,1000.0,1,20
65,10.0,18.0,10.0,2.0,50.0,1100.0,1,21
66,10.0,18.0,10.0,2.0,75.0,100.0,1,22
67,10.0,18.0,10.0,2.0,75.0,200.0,1,23
68,10.0,18.0,10.0,2.0,75.0,300.0,1,24
69,10.0,18.0,10.0,2.0,75.0,400.0,1,25
70,10.0,18.0,10.0,2.0,75.0,500.0,1,26
71,10.0,18.0,10.0,2.0,75.0,600.0,1,27
72,10.0,18.0,10.0,2.0,75.0,700.0,1,28
73,10.0,18.0,10.0,2.0,75.0,800.0,1,29
74,10.0,18.0,10.0,2.0,75.0,900.0,1,30
75,10.0,18.0,10.0,2.0,75.0,1000.0,1,31
76,10.0,18.0,10.0,2.0,75.0,1100.0,1,32
77,10.0,18.0,10.0,2.0,100.0,100.0,1,33
78,10.0,18.0,10.0,2.0,100.0,200.0,1,34
79,10.0,18.0,10.0,2.0,100.0,300.0,1,35
80,10.0,18.0,10.0,2.0,100.0,400.0,1,36
81,10.0,18.0,10.0,2.0,100.0,500.0,1,37
82,10.0,18.0,10.0,2.0,100.0,600.0,1,38
83,10.0,18.0,10.0,2.0,100.0,700.0,1,39
84,10.0,18.0,10.0,2.0,100.0,800.0,1,40
85,10.0,18.0,10.0,2.0,100.0,900.0,1,41
86,10.0,18.0,10.0,2.0,100.0,1000.0,1,42
87,10.0,18.0,10.0,2.0,100.0,1100.0,1,43
88,10.0,22.0,10.0,2.0,25.0,100.0,2,0
89,10.0,22.0,10.0,2.0,25.0,200.0,2,1
90,10.0,22.0,10.0,2.0,25.0,300.0,2,2
91,10.0,22.0,10.0,2.0,25.0,400.0,2,3
92,10.0,22.0,10.0,2.0,25.0,500.0,2,4
93,10.0,22.0,10.0,2.0,25.0,600.0,2,5
94,10.0,22.0,10.0,2.0,25.0,700.0,2,6
95,10.0,22.0,10.0,2.0,25.0,800.0,2,7
96,10.0,22.0,10.0,2.0,25.0,900.0,2,8
97,10.0,22.0,10.0,2.0,25.0,1000.0,2,9
