name,b_eff,h_eff,mu_r,p_loss,p_mag,p_el
unit,T,A/m,1,W /m^3,W /m^3,W /m^3
group,post-processing,post-processing,post-processing,post-processing,post-processing,post-processing
0,0.024999999999999967,(11.195014064501757+0.13098438978417354j),(1776.8307117811978-20.789351866061914j),1037.937937251911,1026.5980135909447,11.339923660968337
1,0.024999999999999974,(11.135700274001652+0.16608253615742843j),(1786.142144715633-26.63927818034203j),2631.4703633390836,2567.8281259949945,63.64223734409109
2,0.025000000000000015,(11.073785800173075+0.2043547510931011j),(1795.9165532310274-33.14169940091948j),4854.808797208372,4672.006176171584,182.80262103678018
3,0.024999999999999953,(11.009311640435042+0.2539846628049022j),(1806.0879649922765-41.666423639037674j),8040.966454810946,7647.764785273287,393.20166953766534
4,0.024999999999999974,(10.942200878784956+0.3200112873922091j),(1816.5784826860815-53.12693719784008j),12657.199608375402,11939.027764633745,718.1718437416553
5,0.025000000000000015,(10.872193429130123+0.40648021308997145j),(1827.2852229063824-68.31696765006596j),19282.678862457007,18102.193406661023,1180.4854557960173
6,0.025000000000000064,(10.798783599166633+0.516975848110202j),(1838.0659796055372-87.99469958472118j),28598.62804936059,26795.786169910047,1802.8418794505835
7,0.024999999999999967,(10.721151256650291+0.6548191927702132j),(1848.722073922735-112.91499085526306j),41382.55612487564,38774.20150662162,2608.3546182539003
8,0.025000000000000022,(10.63808462016429+0.8231604869639402j),(1858.9775278134368-143.84514710001415j),58504.38855106758,54883.34992926981,3621.038621797838
9,0.024999999999999967,(10.547893142458253+1.0250299952696302j),(1868.453636511414-181.57379832428447j),80923.6838405229,76057.38684017463,4866.297000348245
10,0.02499999999999999,(10.44830822994556+1.2633692555729545j),(1876.6377282793032-226.91581809974008j),109687.56353377053,103316.15933037068,6371.404203399728
11,0.04999999999999999,(21.89079270771407+0.5132137916382956j),(1816.6029470608426-42.588941333031904j),8153.42486391073,8108.080838443508,45.34402546720394
12,0.05,(21.77224038703416+0.6376018524307101j),(1825.932510992393-53.47258392919108j),20253.67992336378,19999.196416213974,254.4835071498297
13,0.05000000000000003,(21.648254744354954+0.759122924098034j),(1835.707795532927-64.37137247278055j),36155.43121603714,35424.45220550721,730.9790105299953
14,0.05,(21.5182541290702+0.905325247770816j),(1845.8017257062127-77.6573645165414j),57458.74162593607,55886.39502738006,1572.346598556041
15,0.05000000000000009,(21.381414592135847+1.0916652053209093j),(1856.0644993562344-94.76459212029017j),86549.9756326909,83678.04889819173,2871.926734499243
16,0.04999999999999998,(21.23634583549191+1.3299059591495626j),(1866.2957990685934-116.87499930279907j),126441.61086296545,121720.77884641757,4720.8320165480645
17,0.049999999999999954,(21.080845873461406+1.6301572654678174j),(1876.2161468525753-145.08561002431725j),180705.62590812065,173495.7407146847,7209.885193436223
18,0.050000000000000065,(20.91163912991772+2.0016172495564653j),(1885.4334837176623-180.46964948344828j),253436.31580683863,243004.76989893772,10431.545907900625
19,0.050000000000000044,(20.724080348922673+2.4529125551693416j),(1893.4026212153894-224.10408487975215j),349226.37065638154,334744.55077308684,14481.819883295087
20,0.05000000000000001,(20.511813982111605+2.9922774689081884j),(1899.3751190898931-277.08214294523384j),473149.79749630694,453687.66095753235,19462.13653877505
21,0.050000000000000086,(20.26636669463594+3.6276649282786284j),(1902.3367700706453-340.51690105788316j),630750.1390321917,605268.9759532213,25481.163078970425
22,0.07500000000000005,(32.01290273118364+1.2038742673027671j),(1861.712424592239-70.01138571858498j),28745.13053833152,28643.153007572186,101.97753075931965
23,0.07499999999999982,(31.83219312375505+1.4813024995085389j),(1870.877701491181-87.06078794883734j),70716.27126135478,70143.94215188976,572.3291094651225
